clients_id,prefix_group,day_of_week,call_hour,asr,acd,pdd,report_date
32,213%,Friday,11:00,0.0,,0.0,20250711
32,267%,Friday,11:00,0.0,,2.0,20250711
52,213%,Friday,11:00,100.0,0.19,1.0,20250711
52,226%,Friday,11:00,20.0,0.03,0.73,20250711
52,267%,Friday,11:00,77.78,0.3,0.0,20250711
55,226%,Friday,11:00,38.61,0.17,0.06,20250711
59,213%,Friday,11:00,0.0,,1.0,20250711
59,267%,Friday,11:00,66.67,0.0,4.67,20250711
60,226%,Friday,11:00,37.01,0.16,0.89,20250711
60,229%,Friday,11:00,25.0,1.0,0.0,20250711
66,226%,Friday,11:00,44.68,0.14,1.03,20250711
67,213%,Friday,11:00,100.0,0.01,1.0,20250711
67,226%,Friday,11:00,40.23,0.2,0.93,20250711
67,244%,Friday,11:00,100.0,0.01,1.0,20250711
85,244%,Friday,11:00,34.62,0.0,8.88,20250711
88,226%,Friday,11:00,0.0,,0.0,20250711
88,244%,Friday,11:00,0.0,,0.0,20250711
91,213%,Friday,11:00,0.0,,0.0,20250711
91,226%,Friday,11:00,84.81,0.13,3.41,20250711
108,213%,Friday,11:00,0.0,,0.0,20250711
108,267%,Friday,11:00,0.0,,1.5,20250711
155,213%,Friday,11:00,100.0,0.01,1.0,20250711
156,244%,Friday,11:00,0.0,,10.06,20250711
184,213%,Friday,11:00,0.0,,0.25,20250711
184,226%,Friday,11:00,0.0,,0.06,20250711
184,229%,Friday,11:00,0.0,,0.0,20250711
184,244%,Friday,11:00,0.0,,9.56,20250711
184,267%,Friday,11:00,0.0,,1.67,20250711
193,213%,Friday,11:00,0.0,,0.0,20250711
193,229%,Friday,11:00,100.0,0.0,1.0,20250711
209,213%,Friday,11:00,0.0,,0.0,20250711
209,229%,Friday,11:00,100.0,0.0,1.0,20250711
280,267%,Friday,11:00,0.0,,1.0,20250711
336,244%,Friday,11:00,100.0,0.01,1.0,20250711
352,213%,Friday,11:00,0.0,,1.0,20250711
384,267%,Friday,11:00,0.0,,1.44,20250711
407,229%,Friday,11:00,100.0,0.0,1.0,20250711
407,267%,Friday,11:00,0.0,,1.5,20250711
433,213%,Friday,11:00,0.0,,1.0,20250711
503,229%,Friday,11:00,100.0,0.0,1.0,20250711
671,244%,Friday,11:00,34.62,0.0,8.88,20250711
709,244%,Friday,11:00,0.0,,0.0,20250711
718,213%,Friday,11:00,91.67,0.23,0.83,20250711
718,226%,Friday,11:00,50.68,0.35,1.22,20250711
727,213%,Friday,11:00,87.5,0.26,0.75,20250711
939,213%,Friday,11:00,33.33,1.28,0.67,20250711
943,213%,Friday,11:00,50.0,0.0,2.0,20250711
943,244%,Friday,11:00,0.0,,0.0,20250711
948,226%,Friday,11:00,5.0,0.03,0.08,20250711
949,213%,Friday,11:00,0.0,,0.0,20250711
949,244%,Friday,11:00,0.0,,0.0,20250711
951,213%,Friday,11:00,20.0,1.28,0.0,20250711
962,213%,Friday,11:00,0.0,,0.0,20250711
964,226%,Friday,11:00,52.67,0.38,1.85,20250711
990,229%,Friday,11:00,100.0,1.0,0.0,20250711
999,226%,Friday,11:00,94.44,0.18,5.86,20250711
1009,213%,Friday,11:00,50.0,0.01,0.5,20250711
1019,244%,Friday,11:00,0.0,,0.0,20250711
1044,267%,Friday,11:00,38.1,0.26,0.67,20250711
1135,213%,Friday,11:00,100.0,0.01,1.0,20250711
